,ID_user,gender,geo,class,num_orders,rapida,mercados,vegetariana,oriental,licores,tecnologia
0,1,M,d2g6fb,5,1518,0.08562421105126107,0.41626539526459233,0.39255407528116615,0.10933553103468723,0.21735376651473964,0.7785216727891584
1,2,F,d2g6g6,2,1759,0.429898400431943,0.41968973129239817,0.7645158888948009,0.1020866913954482,0.19056182393816998,0.08847513254272177
2,3,F,d2g6dt,1,1862,0.39614963243065276,0.7869603210280084,0.40255636503060943,0.08969425639939307,0.20501544319861276,0.10784666543260359
3,4,F,d2g6f8,5,1773,0.09383792192424796,0.4171830504825,0.4454474847970325,0.07461810659036584,0.22272374239851625,0.7507033753939837
4,5,F,d2g6dv,4,1544,0.20803603485617655,0.40831917400342727,0.37084684474361906,0.10466409207049876,0.793379660880077,0.10983268920978265
5,6,M,d2g6fe,2,1975,0.4141527544423005,0.3803849039601945,0.7945376584024949,0.08243328205925884,0.18770952179758943,0.10229672351932123
6,7,F,d2g6ff,5,1963,0.11034992378755602,0.43521184895652937,0.41458569497754694,0.09281769290542095,0.21554330908036642,0.7559485433297062
7,8,F,d2g6e1,4,1665,0.20011774684049738,0.404972008399113,0.38602594952663993,0.09236203700330647,0.7933662152848121,0.09473029436236562
8,9,F,d2g6g5,2,1842,0.39419408419638136,0.4073338870029274,0.7829132505567018,0.1215431759605509,0.19162212426212982,0.11935320882612657
9,10,M,d2g6fd,0,1812,0.7881744291093349,0.3672300886670754,0.41765571278255437,0.09646641135135114,0.22910772695945897,0.0876967375921374
10,11,M,d2g6dv,4,1537,0.21444791262633997,0.37334606475308585,0.36947050006706766,0.1085158112085094,0.8087011644824629,0.11109952099918818
11,12,M,d2g6g0,2,1640,0.4579558662603561,0.3973076569447954,0.7537706014933969,0.11015695161397755,0.1992726877511279,0.11139467017143798
12,13,F,d2g6g5,2,1566,0.36066482755408574,0.4076006612768777,0.8090255549586512,0.0716389041032088,0.1840378743341054,0.10128258855970901
13,14,M,d2g6f9,3,1688,0.104066760890071,0.4150844667319877,0.3807897387113961,0.78759616764531,0.1986729071537719,0.1099796450315523
14,15,M,d2g6e5,4,1748,0.18700224736495702,0.3887380051283652,0.4159383320178135,0.10880130755779317,0.7876761328402735,0.092934450205615
15,16,M,d2g6fc,3,1585,0.07834464626886513,0.3758094750709624,0.39172323134432563,0.8091532997456227,0.18606853488855468,0.09915494293403243
